faa,name,tz,tzone
RBN,Fort Jefferson,-5,America/New_York
RBY,Ruby Airport,-9,America/Anchorage
RCA,Ellsworth Afb,-7,America/Denver
RCE,Roche Harbor Seaplane Base,-8,America/Los_Angeles
RCZ,Richmond County Airport,-5,America/New_York
RDD,Redding Muni,-8,America/Los_Angeles
RDG,Reading Regional Carl A Spaatz Field,-5,America/New_York
RDM,Roberts Fld,-8,America/Los_Angeles
RDR,Grand Forks Afb,-6,America/Chicago
RDU,Raleigh Durham Intl,-5,America/New_York
RDV,Red Devil Airport,-9,America/Anchorage
REI,Redlands Municipal Airport,-8,America/Los_Angeles
RFD,Chicago Rockford International Airport,-6,America/Chicago
RHI,Rhinelander Oneida County Airport,-6,America/Chicago
RIC,Richmond Intl,-5,America/New_York
RID,Richmond Municipal Airport,-5,America/New_York
RIF,Richfield Minicipal Airport,-7,America/Denver
RIL,Garfield County Regional Airport,-7,America/Denver
RIR,Flabob Airport,-8,America/Los_Angeles
RIU,Rancho Murieta,-8,America/Los_Angeles
RIV,March Arb,-8,America/Los_Angeles
RIW,Riverton Regional,-7,America/Denver
RKD,Knox County Regional Airport,-5,America/New_York
RKH,Rock Hill York Co Bryant Airport,-5,America/New_York
RKP,Aransas County Airport,-6,America/Chicago
RKS,Rock Springs Sweetwater County Airport,-7,America/Denver
RME,Griffiss Afld,-5,America/New_York
RMG,Richard B Russell Airport,-5,America/New_York
RMP,Rampart Airport,-9,America/Anchorage
RMY,Brooks Field Airport,-5,America/New_York
RND,Randolph Afb,-6,America/Chicago
RNM,Ramona Airport,-8,America/Los_Angeles
RNO,Reno Tahoe Intl,-8,America/Los_Angeles
RNT,Renton,-8,America/Los_Angeles
ROA,Roanoke Regional,-5,America/New_York
ROC,Greater Rochester Intl,-5,America/New_York
ROW,Roswell Intl Air Center,-7,America/Denver
RSH,Russian Mission Airport,-9,America/Anchorage
RSJ,Rosario Seaplane Base,-8,America/Los_Angeles
RST,Rochester,-6,America/Chicago
RSW,Southwest Florida Intl,-5,America/New_York
RUT,Rutland State Airport,-5,America/New_York
RVS,Richard Lloyd Jones Jr Airport,-6,America/Chicago
RWI,Rocky Mount Wilson Regional Airport,-5,America/New_York
RWL,Rawlins Municipal Airport-Harvey Field,-7,America/Denver
RYY,Cobb County Airport-Mc Collum Field,-5,America/New_York
S30,Lebanon State,-8,America/Los_Angeles
S40,Prosser,-8,America/Los_Angeles
S46,Port O\\'Connor Airfield,-6,America/Chicago
SAA,Shively Field Airport,-7,America/Denver
SAC,Sacramento Executive,-8,America/Los_Angeles
SAD,Safford Regional Airport,-7,America/Phoenix
SAF,Santa Fe Muni,-7,America/Denver
SAN,San Diego Intl,-8,America/Los_Angeles
SAT,San Antonio Intl,-6,America/Chicago
SAV,Savannah Hilton Head Intl,-5,America/New_York
SBA,Santa Barbara Muni,-8,America/Los_Angeles
SBD,San Bernardino International Airport,-8,America/Los_Angeles
SBM,Sheboygan County Memorial Airport,-6,America/Chicago
SBN,South Bend Rgnl,-5,America/New_York
SBO,Emanuel Co,-5,America/New_York
SBP,San Luis County Regional Airport,-8,America/Los_Angeles
SBS,Steamboat Springs Airport-Bob Adams Field,-7,America/Denver
SBY,Salisbury Ocean City Wicomico Rgnl,-5,America/New_York
SCC,Deadhorse,-9,America/Anchorage
SCE,University Park Airport,-5,America/New_York
SCH,Stratton ANGB - Schenectady County Airpor,-5,America/New_York
SCK,Stockton Metropolitan,-8,America/Los_Angeles
SCM,Scammon Bay Airport,-9,America/Anchorage
SDC,Williamson-Sodus Airport,-5,America/New_York
SDF,Louisville International Airport,-5,America/New_York
SDM,Brown Field Municipal Airport,-8,America/Los_Angeles
SDP,Sand Point Airport,-9,America/Anchorage
SDX,Sedona,-7,America/Phoenix
SDY,Sidney-Richland Municipal Airport,-7,America/Denver
SEA,Seattle Tacoma Intl,-8,America/Los_Angeles
SEE,Gillespie,-8,America/Los_Angeles
SEF,Regional - Hendricks AAF,-5,America/New_York
SEM,Craig Fld,-6,America/Chicago
SES,Selfield Airport,-6,America/Chicago
SFB,Orlando Sanford Intl,-5,America/New_York
SFF,Felts Fld,-8,America/Los_Angeles
SFM,Sanford Regional,-5,America/New_York
SFO,San Francisco Intl,-8,America/Los_Angeles
SFZ,North Central State,-5,America/New_York
SGF,Springfield Branson Natl,-6,America/Chicago
SGH,Springfield-Beckly Municipal Airport,-5,America/New_York
SGJ,St. Augustine Airport,-5,America/New_York
SGR,Sugar Land Regional Airport,-6,America/Chicago
SGU,St George Muni,-7,America/Denver
SGY,Skagway Airport,-9,America/Anchorage
SHD,Shenandoah Valley Regional Airport,-5,America/New_York
SHG,Shungnak Airport,-9,America/Anchorage
SHH,Shishmaref Airport,-9,America/Anchorage
SHR,Sheridan County Airport,-7,America/Denver
SHV,Shreveport Rgnl,-6,America/Chicago
SHX,Shageluk Airport,-9,America/Anchorage
SIK,Sikeston Memorial Municipal,-6,America/Chicago
SIT,Sitka Rocky Gutierrez,-9,America/Anchorage
SJC,Norman Y Mineta San Jose Intl,-8,America/Los_Angeles
SJT,San Angelo Rgnl Mathis Fld,-6,America/Chicago
SKA,Fairchild Afb,-8,America/Los_Angeles
SKF,Lackland Afb Kelly Fld Annex,-6,America/Chicago
SKK,Shaktoolik Airport,-9,America/Anchorage
SKY,Griffing Sandusky,-5,America/New_York
SLC,Salt Lake City Intl,-7,America/Denver
SLE,McNary Field,-8,America/Los_Angeles
SLK,Adirondack Regional Airport,-5,America/New_York
SLN,Salina Municipal Airport,-6,America/Chicago
SLQ,Sleetmute Airport,-9,America/Anchorage
SMD,Smith Fld,-5,America/New_York
SME,Lake Cumberland Regional Airport,-5,America/New_York
SMF,Sacramento Intl,-8,America/Los_Angeles
SMK,St. Michael Airport,-9,America/Anchorage
SMN,Lemhi County Airport,-7,America/Denver
SMO,Santa Monica Municipal Airport,-8,America/Los_Angeles
SMX,Santa Maria Pub Cpt G Allan Hancock Airport,-8,America/Los_Angeles
SNA,John Wayne Arpt Orange Co,-8,America/Los_Angeles
SNP,St Paul Island,-9,America/Anchorage
SNY,Sidney Muni Airport,-7,America/Denver
SOP,Moore County Airport,-5,America/New_York
SOW,Show Low Regional Airport,-7,America/Phoenix
SPB,Scappoose Industrial Airpark,-8,America/Los_Angeles
SPF,Black Hills Airport-Clyde Ice Field,-7,America/Denver
SPG,Albert Whitted,-5,America/New_York
SPI,Abraham Lincoln Capital,-6,America/Chicago
SPS,Sheppard Afb Wichita Falls Muni,-6,America/Chicago
SPW,Spencer Muni,-6,America/Chicago
SPZ,Silver Springs Airport,-8,America/Los_Angeles
SQL,San Carlos Airport,-8,America/Los_Angeles
SRQ,Sarasota Bradenton Intl,-5,America/New_York
SRR,Sierra Blanca Regional Airport,-7,America/Denver
SRV,Stony River 2 Airport,-9,America/Anchorage
SSC,Shaw Afb,-5,America/New_York
SSI,McKinnon Airport,-5,America/New_York
STC,Saint Cloud Regional Airport,-6,America/Chicago
STE,Stevens Point Municipal Airport,-6,America/Chicago
STG,St. George Airport,-9,America/Anchorage
STJ,Rosecrans Mem,-6,America/Chicago
STK,Sterling Municipal Airport,-7,America/Denver
STL,Lambert St Louis Intl,-6,America/Chicago
STS,Charles M Schulz Sonoma Co,-8,America/Los_Angeles
SUA,Witham Field Airport,-5,America/New_York
SUE,Door County Cherryland Airport,-6,America/Chicago
SUN,Friedman Mem,-7,America/Denver
SUS,Spirit Of St Louis,-6,America/Chicago
SUU,Travis Afb,-8,America/Los_Angeles
SUX,Sioux Gateway Col Bud Day Fld,-6,America/Chicago
SVA,Savoonga Airport,-9,America/Anchorage
SVC,Grant County Airport,-7,America/Denver
SVH,Regional Airport,-5,America/New_York
SVN,Hunter Aaf,-5,America/New_York
SVW,Sparrevohn Lrrs,-9,America/Anchorage
SWD,Seward Airport,-9,America/Anchorage
SWF,Stewart Intl,-5,America/New_York
SXP,Sheldon Point Airport,-9,America/Anchorage
SXQ,Soldotna Airport,-9,America/Anchorage
SYA,Eareckson As,-9,America/Anchorage
SYB,Seal Bay Seaplane Base,-9,America/Anchorage
SYR,Syracuse Hancock Intl,-5,America/New_York
SZL,Whiteman Afb,-6,America/Chicago
TAL,Tanana Airport,-9,America/Anchorage
TAN,Taunton Municipal Airport - King Field,-5,America/New_York
TBN,Waynesville Rgnl Arpt At Forney Fld,-6,America/Chicago
TCC,Tucumcari Muni,-7,America/Denver
TCL,Tuscaloosa Rgnl,-6,America/Chicago
TCM,Mc Chord Afb,-8,America/Los_Angeles
TCS,Truth Or Consequences Muni,-7,America/Denver
TCT,Takotna Airport,-9,America/Anchorage
TEB,Teterboro,-5,America/New_York
TEK,Tatitlek Airport,-9,America/Anchorage
TEX,Telluride,-7,America/Denver
TIK,Tinker Afb,-6,America/Chicago
TIW,Tacoma Narrows Airport,-8,America/Los_Angeles
TIX,Space Coast Reg'l Airport,-5,America/New_York
TKA,Talkeetna,-9,America/Anchorage
TKE,Tenakee Seaplane Base,-9,America/Anchorage
TKF,Truckee-Tahoe Airport,-8,America/Los_Angeles
TKI,Collin County Regional Airport at Mc Kinney,-6,America/Chicago
TLA,Teller Airport,-9,America/Anchorage
TLH,Tallahassee Rgnl,-5,America/New_York
TLJ,Tatalina Lrrs,-9,America/Anchorage
TLT,Tuluksak Airport,-9,America/Anchorage
TMA,Henry Tift Myers Airport,-5,America/New_York
TMB,Kendall Tamiami Executive,-5,America/New_York
TNC,Tin City LRRS Airport,-9,America/Anchorage
TNK,Tununak Airport,-9,America/Anchorage
TNT,Dade Collier Training And Transition,-5,America/New_York
TNX,Tonopah Test Range,-8,America/Los_Angeles
TOA,Zamperini Field Airport,-8,America/Los_Angeles
TOC,Toccoa RG Letourneau Field Airport,-5,America/New_York
TOG,Togiak Airport,-9,America/Anchorage
TOL,Toledo,-5,America/New_York
TOP,Philip Billard Muni,-6,America/Chicago
TPA,Tampa Intl,-5,America/New_York
TPL,Draughon Miller Central Texas Rgnl,-6,America/Chicago
TRI,Tri-Cities Regional Airport,-5,America/New_York
TRM,Jacqueline Cochran Regional Airport,-8,America/Los_Angeles
TSS,East 34th Street Heliport,-5,America/New_York
TTD,Portland Troutdale,-8,America/Los_Angeles
TTN,Trenton Mercer,-5,America/New_York
TUL,Tulsa Intl,-6,America/Chicago
TUP,Tupelo Regional Airport,-6,America/Chicago
TUS,Tucson Intl,-7,America/Phoenix
TVC,Cherry Capital Airport,-5,America/New_York
TVF,Thief River Falls,-6,America/Chicago
TVI,Thomasville Regional Airport,-5,America/New_York
TVL,Lake Tahoe Airport,-8,America/Los_Angeles
TWA,Twin Hills Airport,-9,America/Anchorage
TWD,Jefferson County Intl,-8,America/Los_Angeles
TWF,Magic Valley Regional Airport,-7,America/Denver
TXK,Texarkana Rgnl Webb Fld,-6,America/Chicago
TYE,Tyonek Airport,-9,America/Anchorage
TYR,Tyler Pounds Rgnl,-6,America/Chicago
TYS,Mc Ghee Tyson,-5,America/New_York
TZR,Bolton Field,-5,America/New_York
U76,Mountain Home Municipal Airport,-7,America/Denver
UCA,Union Station,-5,America/New_York
UDD,Bermuda Dunes Airport,-8,America/Los_Angeles
UDG,Darlington County Jetport,-5,America/New_York
UES,Waukesha County Airport,-6,America/Chicago
UGN,Waukegan Rgnl,-6,America/Chicago
UIN,Quincy Regional Baldwin Field,-6,America/Chicago
UMP,Indianapolis Metropolitan Airport,-5,America/New_York
UNK,Unalakleet Airport,-9,America/Anchorage
UPP,Upolu,-10,Pacific/Honolulu
UST,St. Augustine Airport,-5,America/New_York
UT3,Hite Airport,-7,America/Denver
UTM,Tunica Municipal Airport,-6,America/Chicago
UTO,Indian Mountain Lrrs,-9,America/Anchorage
UUK,Ugnu-Kuparuk Airport,-9,America/Anchorage
UUU,Newport State,-5,America/New_York
UVA,Garner Field,-6,America/Chicago
VAD,Moody Afb,-5,America/New_York
VAK,Chevak Airport,-9,America/Anchorage
VAY,South Jersey Regional Airport,-5,America/New_York
VBG,Vandenberg Afb,-8,America/Los_Angeles
VCT,Victoria Regional Airport,-6,America/Chicago
VCV,Southern California Logistics,-8,America/Los_Angeles
VDF,Tampa Executive Airport,-5,America/New_York
VDZ,Valdez Pioneer Fld,-9,America/Anchorage
VEE,Venetie Airport,-9,America/Anchorage
VEL,Vernal Regional Airport,-7,America/Denver
VGT,North Las Vegas Airport,-8,America/Los_Angeles
VIS,Visalia Municipal Airport,-8,America/Los_Angeles
VLD,Valdosta Regional Airport,-5,America/New_York
VNW,Van Wert County Airport,-5,America/New_York
VNY,Van Nuys,-8,America/Los_Angeles
VOK,Volk Fld,-6,America/Chicago
VPC,Cartersville Airport,-5,America/New_York
VPS,Eglin Afb,-6,America/Chicago
VRB,Vero Beach Muni,-5,America/New_York
VSF,Hartness State,-5,America/New_York
VYS,Illinois Valley Regional,-6,America/Chicago
W04,Ocean Shores Municipal,-8,America/Los_Angeles
W13,Eagle's Nest Airport,-5,America/New_York
WAA,Wales Airport,-9,America/Anchorage
WAL,Wallops Flight Facility,-5,America/New_York
WAS,All Airports,-5,America/New_York
WBB,Stebbins Airport,-9,America/Anchorage
WBQ,Beaver Airport,-9,America/Anchorage
WBU,Boulder Municipal,-7,America/Denver
WBW,Wilkes-Barre Wyoming Valley Airport,-5,America/New_York
WDR,Barrow County Airport,-5,America/New_York
WFB,Ketchikan harbor Seaplane Base,-9,America/Anchorage
WFK,Northern Aroostook Regional Airport,-5,America/New_York
WHD,Hyder Seaplane Base,-8,America/Vancouver
WHP,Whiteman Airport,-8,America/Los_Angeles
WIH,Wishram Amtrak Station,-8,America/Los_Angeles
WKK,Aleknagik Airport,-9,America/Anchorage
WKL,Waikoloa Heliport,-10,Pacific/Honolulu
WLK,Selawik Airport,-9,America/Anchorage
WMO,White Mountain Airport,-9,America/Anchorage
WRB,Robins Afb,-5,America/New_York
WRG,Wrangell Airport,-9,America/Anchorage
WRI,Mc Guire Afb,-5,America/New_York
WRL,Worland Municipal Airport,-7,America/Denver
WSD,Condron Aaf,-7,America/Denver
WSJ,San Juan - Uganik Seaplane Base,-9,America/Anchorage
WSN,South Naknek Airport,-9,America/Anchorage
WST,Westerly State Airport,-5,America/New_York
WSX,Westsound Seaplane Base,-8,America/Los_Angeles
WTK,Noatak Airport,-9,America/Anchorage
WTL,Tuntutuliak Airport,-9,America/Anchorage
WWD,Cape May Co,-5,America/New_York
WWP,North Whale Seaplane Base,-9,America/Anchorage
WWT,Newtok Airport,-9,America/Anchorage
WYS,Yellowstone Airport,-7,America/Denver
X01,Everglades Airpark,-5,America/New_York
X04,Apopka,-5,America/New_York
X07,Lake Wales Municipal Airport,-5,America/New_York
X21,Arthur Dunn Airpark,-5,America/New_York
X26,Sebastian Municipal,-5,America/New_York
X39,Tampa North Aero Park,-5,America/New_York
X49,South Lakeland Airport,-5,America/New_York
X59,Valkaria Municipal,-5,America/New_York
XFL,Flagler County Airport,-5,America/New_York
XNA,NW Arkansas Regional,-6,America/Chicago
XZK,Amherst Amtrak Station AMM,-5,America/New_York
Y51,Municipal Airport,-6,America/Chicago
Y72,Bloyer Field,-6,America/Chicago
YAK,Yakutat,-9,NA
YIP,Willow Run,-5,America/New_York
YKM,Yakima Air Terminal McAllister Field,-8,America/Los_Angeles
YKN,Chan Gurney,-6,America/Chicago
YNG,Youngstown Warren Rgnl,-5,America/New_York
YUM,Yuma Mcas Yuma Intl,-7,America/Phoenix
Z84,Clear,-9,America/Anchorage
ZBP,Penn Station,-5,America/New_York
ZFV,Philadelphia 30th St Station,-5,America/New_York
ZPH,Municipal Airport,-5,America/New_York
ZRA,Atlantic City Rail Terminal,-5,America/New_York
ZRD,Train Station,-5,America/New_York
ZRP,Newark Penn Station,-5,America/New_York
ZRT,Hartford Union Station,-5,America/New_York
ZRZ,New Carrollton Rail Station,-5,America/New_York
ZSF,Springfield Amtrak Station,-5,America/New_York
ZSY,Scottsdale Airport,-7,America/Phoenix
ZTF,Stamford Amtrak Station,-5,America/New_York
ZTY,Boston Back Bay Station,-5,America/New_York
ZUN,Black Rock,-7,America/Denver
ZVE,New Haven Rail Station,-5,America/New_York
ZWI,Wilmington Amtrak Station,-5,America/New_York
ZWU,Washington Union Station,-5,America/New_York
ZYP,Penn Station,-5,America/New_York
